ticker,raw_score,rs_percentile
A,0.10834443731816291,87
AA,-0.08908648461851637,31
AACG,-0.17067085878372873,16
AACIU,-0.003106793096101757,59
AACOU,-0.003844784045384819,59
AAL,-0.14392499759662206,20
AAME,-0.11914747500560222,24
AAMI,0.02076105831144357,72
AAOI,-0.2910515338016752,7
AAON,-0.25105461815116165,9
AAP,-0.2547412357535307,9
AAPG,-0.14932167285012837,19
AAPL,0.06530562878542678,81
AARD,-0.07741890277035113,34
AAT,-0.07000958319913589,36
AAUC,-0.07471903805738475,35
AB,-0.022965437828035805,52
ABAT,-0.1575203305335984,18
ABBV,0.07145777636865572,82
ABCB,-0.06810922259079866,37
ABCL,0.521059626610471,98
ABEO,-0.12774847141329404,23
ABEV,0.021218148088437448,72
ABG,-0.07081383538949701,36
ABLV,0.06917008217484959,82
ABM,0.07527657190731352,83
ABNB,0.04866027001437232,78
ABOS,0.06654904711152594,81
ABR,-0.0964358641194912,29
ABSI,-0.04444319879859465,45
ABT,-0.003759426953038693,59
ABTC,0.15050636917695853,90
ABTS,0.16865993855421935,91
ABUS,0.09839864580411449,86
ABVC,0.061936007441672554,80
ABVX,-0.14247996742221283,20
ABX,-0.03924988105596942,46
ACA,0.019607658543978435,72
ACAAU,0.009846672114039357,68
ACAD,0.06043555327055572,80
ACB,0.22415987775134621,94
ACCL,0.3227479938199403,96
ACCO,0.048093727324240415,78
ACCS,-0.1421346637932473,20
ACDC,-0.09160569136416687,30
ACEL,-0.06770025512382047,37
ACET,0.08534161663286559,84
ACFN,0.0941661108616377,85
ACGL,-0.007775297506728595,57
ACGLN,-0.0511526714350939,42
ACGLO,-0.027340928777936535,50
ACH,-0.3377859462932803,5
ACHC,-0.06042695641707499,39
ACHR,-0.04693486470256332,44
ACHV,0.11707798087583715,87
ACI,-0.06302201358317253,38
ACIC,-0.07173911733938929,35
ACIU,0.1087077921548356,87
ACIW,-0.012078472381614754,56
ACLS,-0.2945451553973258,7
ACM,-0.04178871661799269,46
ACMR,-0.2476543551671824,9
ACN,0.18599673973658354,92
ACNB,0.055817541468003926,79
ACNT,0.0032562606543454567,63
ACOG,0.05111775364313363,79
ACON,-0.06973018450776804,36
ACP,-0.08130219560777635,33
ACR,-0.1490628496595071,19
ACRE,-0.06669391836398196,37
ACRS,-0.024528444302614548,51
ACRV,-0.06574932837783432,38
ACT,0.03891544061458627,76
ACTG,-0.02094015173814794,53
ACTU,-0.19052974090036046,14
ACU,0.17108757565971305,91
ACV,-0.048803278573506005,43
ACVA,0.4357007776254649,97
ACXP,-0.13550061269211316,21
AD,0.051753567893694785,79
ADAC,0.002997937767109493,63
ADACU,0.0013779467692029092,62
ADAG,-0.14063255655435475,21
ADAM,-0.059516682156962944,40
ADAML,0.01932678765351281,72
ADAMM,0.01968576818383223,72
ADAMN,0.011331503140993994,69
ADAMZ,-0.05312132319565352,42
ADBE,0.0514424881071385,79
ADC,-0.09843902217000342,29
ADCT,-0.07855062049521697,33
ADEA,-0.10955960510000624,27
ADGM,-0.19431504346762526,14
ADI,-0.06994213016276639,36
ADIL,0.4990770711872554,98
ADM,0.044154475668867196,77
ADMA,-0.009551244062504603,56
ADNT,-0.10129128638735634,28
ADP,0.08749196044140162,84
ADPT,0.24208183370336328,94
ADSE,-0.05804128766150864,40
ADSK,-0.022642725811703963,52
ADT,0.007929530798080842,67
ADTN,-0.31219592411719116,6
ADUR,-0.16477508106655359,17
ADUS,0.07642034366311297,83
ADV,-0.026465583076676836,51
ADVB,0.271803459151992,95
ADX,0.0053986078247159845,65
ADXN,-0.42005324564174606,3
AEAQ,0.003651799218558016,64
AEAQU,-0.009534866114517815,56
AEBI,-0.03822408492814689,47
AEC,-0.18117312666325497,15
AEE,-0.059095911810069325,40
AEF,0.08537110148952312,84
AEG,0.013598426521166563,70
AEHL,0.22125310215224475,94
AEHR,-0.2381188595169127,10
AEI,-0.2998537227396067,7
AEIS,-0.22767623294618158,11
AEM,0.17139467958881066,91
AEMD,-0.5951654337999043,1
AENT,-0.0921327933332609,30
AEO,-0.11605603448668865,25
AEON,-0.1599745413589747,18
AEP,-0.05953549017989171,40
AER,-0.03686368433589324,47
AERO,-0.07077500467036832,36
AERT,0.017525550701188122,71
AES,0.010863238675120113,69
AESI,-0.015517399680251023,54
AEVA,-0.31796325923366164,6
AEXA,-0.03133554829588404,49
AEYE,-0.013797004503328422,55
AFB,-0.06945416677093291,36
AFCG,0.07839118830389491,83
AFG,0.003679074057424658,64
AFJK,-0.11408624688945901,26
AFJKU,-0.16547661687465554,17
AFL,-0.03243442919286487,48
AFRI,0.049406674329601136,78
AFRM,-0.045761336580709785,44
AFYA,-0.013586787700047865,55
AG,0.00534006500655927,65
AGBK,-0.04574419110499084,44
AGCC,-0.0747219720740681,35
AGCO,0.1261995091612094,88
AGD,-0.030818189955823215,49
AGEN,0.4198249265575956,97
AGI,0.0529521193675932,79
AGIG,0.12960642101442185,88
AGIO,-0.05357946511280469,42
AGL,-0.1716923441511642,16
AGM,0.04548166933139976,78
AGMB,-0.0704655315091934,36
AGMH,-0.3931264214738365,4
AGNC,-0.08034030855229496,33
AGNCL,0.01685474652856815,71
AGNCM,0.015858022539755347,70
AGNCN,0.003709342665436588,64
AGNCO,0.008663597550649004,68
AGNCP,0.014691988118489263,70
AGNCZ,-0.004931096077956054,59
AGNT,-0.12252969824328261,24
AGO,-0.09173926834912054,30
AGPU,0.2943596359030774,95
AGRO,0.20764481204848115,93
AGRZ,-0.22284557570897937,11
AGX,-0.337333696595326,5
AGYS,0.011257525244313397,69
AHCO,-0.21305604750924037,12
AHG,-0.4209950283765936,3
AHMA,-0.27960601157025766,7
AHR,-0.007330314806671602,57
AHRT,-0.07399139484015158,35
AHT,-0.07584575766548446,34
AI,0.09674327487729048,85
AIB,-0.17936297468505857,15
AIDX,-0.11829225097645507,25
AIFA,0.16171668883876272,91
AIFC,-0.007364921656984415,57
AIFF,-0.22021119274949738,12
AIFU,-0.5527004758293359,2
AIG,-0.0059661752486476535,58
AII,0.24864246626653774,94
AIIA,0.0040263991209225965,64
AIIO,-0.49393775633244524,2
AIIR,0.029947034825144114,74
AIM,-0.2177532881647465,12
AIMD,-0.11636688986484583,25
AIN,-0.11073556559944354,26
AIO,-0.05641585529961124,41
AIOS,0.05284443571377136,79
AIOT,-0.11268793024750051,26
AIP,-0.3229043135859974,6
AIR,-0.17839899992685748,15
AIRE,-0.08244234868190742,33
AIRG,-0.0843726597307198,32
AIRI,0.021556153696973723,72
AIRJ,-0.1277842993841868,23
AIRO,-0.1056127078210286,27
AIRS,-0.43322513421995273,3
AIRT,0.14645671403736596,90
AIRTP,0.016498987411528776,71
AISP,-0.1061562138543741,27
AIT,-0.0848904856646257,32
AIV,-0.16871875204536452,17
AIXC,0.1765283063984487,92
AIXI,0.6233427922379111,98
AIZ,0.03248329514616044,75
AJG,0.008107063875957256,67
AKA,0.01738180564786929,71
AKAM,-0.15646170173487087,18
AKAN,-0.6313398231300841,1
AKBA,-0.07417135231768601,35
AKR,-0.09410541417809484,30
AKTS,-0.066223937159544,37
AKTX,0.10431395040514116,86
ALAB,-0.16482151670145123,17
ALAR,-0.04592886880702536,44
ALB,-0.18505122796851486,15
ALC,-0.05820678304532133,40
ALCO,-0.01073440190761824,56
ALDF,0.008307421423007888,67
ALDFU,0.007118240159185963,67
ALDX,-0.16376957209882884,17
ALEC,0.10451218487605107,86
ALF,-0.00497255936033284,59
ALFUU,-0.0038436421262470263,59
ALG,0.05129505671298118,79
ALGM,-0.28984303166092473,7
ALGN,-0.13753910276108416,21
ALGS,-0.14962742683311422,19
ALGT,-0.135784971208463,21
ALH,-0.1471271701095446,20
ALHC,-0.4650409724970902,2
ALIS,0.011520346333408704,69
ALISU,-0.00046297355116786676,60
ALIT,-0.20020952806522016,13
ALK,-0.12633514697227238,23
ALKS,-0.06677353797118679,37
ALKT,0.029434178401315337,74
ALL,0.03239810810632397,75
ALLE,0.03564917998722453,75
ALLO,-0.1326149871564377,22
ALLR,-0.11631495932018807,25
ALLT,0.02189130046059451,72
ALLY,-0.09323686245880497,30
ALM,-0.1497884390623681,19
ALMS,-0.6900544167265517,1
ALMU,-0.23265237440923994,11
ALNT,-0.05820080236372888,40
ALNY,-0.028851279392418803,50
ALOV,0.004223519252718022,64
ALOVU,-0.0008919642968537755,60
ALOY,-0.3189791344328624,6
ALRM,0.05854308245222315,80
ALRS,0.023298748638658773,73
ALSN,-0.021760084070902807,52
ALT,0.12600423008518644,88
ALTG,-0.15102886686788264,19
ALTI,-0.11283944144844144,26
ALTO,-0.15107412164989242,19
ALUB,0.002707235804620345,63
ALV,-0.03433460036867393,48
ALVO,0.36297887615717206,97
ALX,-0.07824627980994418,33
ALXO,-0.04679845654202984,44
ALZN,0.3187704395989886,96
AM,-0.03904262588641918,46
AMAL,-0.03418767159382865,48
AMAT,-0.22972334152495247,11
AMBA,-0.10884492630696019,27
AMBO,-0.038329248341410785,47
AMBP,-0.009240435849107463,57
AMBQ,-0.16454000452565865,17
AMBR,-0.011557057005154248,56
AMC,0.17007680389411567,91
AMCI,-0.37988304989084665,4
AMCR,-0.03623846747582273,47
AMCX,0.10296517195453536,86
AMD,0.018606868876943607,71
AME,-0.04769147963944157,44
AMG,-0.06858593631762872,37
AMGN,-0.02098176757115281,53
AMH,-0.0537418476658485,42
AMIX,-0.30128610404278294,6
AMKR,-0.293679802609891,7
AMLX,0.7464301733083203,98
AMN,0.02388661114554047,73
AMOD,-0.5738753942551077,1
AMP,0.020072736713148777,72
AMPG,-0.32166304753535674,6
AMPH,0.17784265655407505,92
AMPL,0.3601502216215815,96
AMPX,-0.22088518784993938,11
AMPY,0.04376654842848254,77
AMR,0.1577078467340764,91
AMRC,-0.13379490904401545,22
AMRN,-0.025753772335193992,51
AMRX,0.01715951151711702,71
AMRZ,-0.20855637137107536,12
AMS,-0.048171327191838,43
AMSC,-0.17716924735154282,16
AMSF,-0.14124210325284695,21
AMST,-0.024786760614693117,51
AMT,0.0144833013915685,70
AMTB,0.09946709959475926,86
AMTD,-0.16147643870261086,17
AMTM,-0.045643680926551314,44
AMTX,0.08671137371648295,84
AMWL,0.15166176963803402,90
AMX,-0.07867618924877155,33
AMZE,-0.6126155708107427,1
AMZN,-0.030944804312286366,49
AN,-0.03898853882475337,46
ANAB,-0.07560869467648706,34
ANDE,-0.004037326814310868,59
ANDG,0.22598424461275862,94
ANET,0.07607144228355397,83
ANF,0.4199217685353645,97
ANGH,0.031096239164108877,75
ANGI,0.048652474782166576,78
ANGO,0.09108615552103612,85
ANGX,0.28493706824059073,95
ANIK,0.18676413006726805,92
ANIP,-0.059779998001009374,39
ANIX,-0.1988617109732446,13
ANL,0.2943810336649225,95
ANNA,0.05886924741184429,80
ANNX,-0.23978939853135608,10
ANPA,-0.4905774918365868,2
ANRO,0.05894025217355725,80
ANTA,-0.19734549197610768,13
ANTX,0.03264605631765295,75
ANVS,-0.40563798508676946,3
ANY,0.36418725766995663,97
AOD,0.007037489799652219,67
AOMR,-0.06746754407365715,37
AON,-0.13927948751677732,21
AORT,-0.025454828659993163,51
AOS,-0.05494019084235443,41
AOSL,-0.2561774696078294,9
AOUT,0.2826755506413443,95
AP,-0.1138703109974489,26
APA,0.18611315064118028,92
APAC,0.004509604544738144,64
APACU,0.0041650312069031695,64
APAM,-0.07039364836203614,36
APC,-0.03954370204239337,46
APD,-0.025589711738371355,51
APEI,-0.06434096424931796,38
APG,-0.14113464503560014,21
APH,-0.04636514346955724,44
API,-0.04852543995231275,43
APLD,-0.2197446351162759,12
APLE,-0.04392233148109215,45
APLM,0.1324788432946345,89
APO,-0.04321329032378224,45
APOG,-0.08844928580545136,31
APP,-0.11910025596442406,24
APPF,0.21363745734360487,93
APPN,0.2969121585426395,95
APPS,0.06337683841710821,81
APRE,0.039132108794462,76
APT,-0.014881208440435622,55
APTV,-0.20873347271612364,12
APUS,-0.7130064154612805,1
APVO,-0.5093184730448237,2
APWC,-0.07453335884927216,35
APXT,0.004564884817785497,65
APXTU,0.0069423090009270265,66
APYX,-0.15212839243077264,19
AQB,-0.04262538764217995,45
AQMS,-0.18541128682747915,15
AQN,-0.09146455048771313,30
AQST,0.13903355852216992,89
AR,0.019405402073920587,72
ARAI,-0.25825832440487057,9
ARAY,-0.25083641042962224,9
ARBB,-0.013710163751941389,55
ARBE,-0.1572299125049159,18
ARBK,-0.09997160806199452,28
ARCB,-0.14749011132313647,20
ARCC,0.029263878741330653,74
ARCI,0.000527160715895103,61
ARCIU,0.013581761786203317,70
ARCO,-0.04958690991053353,43
ARCT,1.168759463556559,98
ARDC,-0.016683214946132095,54
ARDT,0.040575458563310504,77
ARDX,-0.26735863849689406,8
ARE,0.09931700697782868,86
AREC,-0.10604552379843825,27
ARES,-0.07034394462783147,36
ARGX,0.06586043335765224,81
ARHS,-0.14108312685515706,21
ARI,-0.05845721058090879,40
ARIS,0.10574614134211559,86
ARKO,-0.2747357066337625,8
ARKR,-0.22156500939554463,11
ARL,0.05649012684068053,80
